SYMBOL ENSEMBL HOCOID
AHR ENSG00000106546 AHR
AIRE ENSG00000160224 AIRE
ALX1 ENSG00000180318 ALX1
ALX3 ENSG00000156150 ALX3
ALX4 ENSG00000052850 ALX4
ANDR ENSG00000169083 ANDR
AP2A ENSG00000137203 AP2A
AP2B ENSG00000008196 AP2B
AP2C ENSG00000087510 AP2C
AP2D ENSG00000008197 AP2D
ARI3A ENSG00000116017 ARI3A.D
ARI3A ENSG00000116017 ARI3A.S
ARI5B ENSG00000150347 ARI5B
ARNT ENSG00000143437 ARNT
ARNT2 ENSG00000172379 ARNT2
ARX ENSG00000004848 ARX
ASCL2 ENSG00000183734 ASCL2
ATF1 ENSG00000123268 ATF1
ATF2 ENSG00000115966 ATF2
ATF3 ENSG00000162772 ATF3
ATF6A ENSG00000118217 ATF6A
ATF7 ENSG00000170653 ATF7
ATOH1 ENSG00000172238 ATOH1
BACH1 ENSG00000156273 BACH1
BARH1 ENSG00000125492 BARH1
BARH2 ENSG00000143032 BARH2
BARX1 ENSG00000131668 BARX1
BARX2 ENSG00000043039 BARX2
BATF ENSG00000156127 BATF.A
BATF ENSG00000156127 BATF.S
BATF3 ENSG00000123685 BATF3
BC11A ENSG00000119866 BC11A
BCL6 ENSG00000113916 BCL6
BCL6B ENSG00000161940 BCL6B
BHA15 ENSG00000180535 BHA15
BHE22 ENSG00000180828 BHE22
BHE23 ENSG00000125533 BHE23
BHE40 ENSG00000134107 BHE40
BHE41 ENSG00000123095 BHE41
BMAL1 ENSG00000133794 BMAL1
BPTF ENSG00000171634 BPTF
BRAC ENSG00000164458 BRAC
BRCA1 ENSG00000012048 BRCA1
BSH ENSG00000188909 BSH
CDC5L ENSG00000096401 CDC5L
CDX1 ENSG00000113722 CDX1
CDX2 ENSG00000165556 CDX2
CEBPA ENSG00000245848 CEBPA
CEBPB ENSG00000172216 CEBPB
CEBPD ENSG00000221869 CEBPD
CEBPE ENSG00000092067 CEBPE
CEBPG ENSG00000153879 CEBPG
CEBPZ ENSG00000115816 CEBPZ
CENPB ENSG00000125817 CENPB
CLOCK ENSG00000134852 CLOCK
COE1 ENSG00000164330 COE1
COT1 ENSG00000175745 COT1.B
COT1 ENSG00000175745 COT1.S
COT2 ENSG00000185551 COT2.S
COT2 ENSG00000185551 COT2.A
