SYMBOL ENSEMBL HOCOID
Ahr ENSMUSG00000019256 AHR
Aire ENSMUSG00000000731 AIRE
Alx1 ENSMUSG00000036602 ALX1
Ar ENSMUSG00000046532 ANDR
Tfap2a ENSMUSG00000021359 AP2A
Tfap2b ENSMUSG00000025927 AP2B
Tfap2c ENSMUSG00000028640 AP2C
Tfap2d ENSMUSG00000042596 AP2D
Arid3a ENSMUSG00000019564 ARI3A.D
Arid3a ENSMUSG00000019564 ARI3A.S
Arid5b ENSMUSG00000019947 ARI5B
Arnt ENSMUSG00000015522 ARNT
Arnt2 ENSMUSG00000015709 ARNT2
Atf1 ENSMUSG00000023027 ATF1
Atf2 ENSMUSG00000027104 ATF2
Atf3 ENSMUSG00000026628 ATF3
Atoh1 ENSMUSG00000073043 ATOH1
Bach1 ENSMUSG00000025612 BACH1
Barx2 ENSMUSG00000032033 BARX2
Batf ENSMUSG00000034266 BATF
Bcl6 ENSMUSG00000022508 BCL6
Bhlhe40 ENSMUSG00000030103 BHE40
Arntl ENSMUSG00000055116 BMAL1
T ENSMUSG00000062327 BRAC
Brca1 ENSMUSG00000017146 BRCA1
Cdc5l ENSMUSG00000023932 CDC5L
Cdx1 ENSMUSG00000024619 CDX1
Cdx2 ENSMUSG00000029646 CDX2
Cdx4 ENSMUSG00000031326 CDX4
Cdx4Hoxc9 ENSMUSG00000036139 CDX4HOXC9
Cdx4HT ENSMUSG00000031326 CDX4HT
Cdx4met1 ENSMUSG00000031326 CDX4MET1
Cdx4met2 ENSMUSG00000031326 CDX4MET2
Cebpa ENSMUSG00000034957 CEBPA
Cebpb ENSMUSG00000056501 CEBPB
Cebpd ENSMUSG00000071637 CEBPD
Cebpe ENSMUSG00000052435 CEBPE
Cebpg ENSMUSG00000056216 CEBPG
Cebpz ENSMUSG00000024081 CEBPZ
Ebf1 ENSMUSG00000057098 COE1
Nr2f1 ENSMUSG00000069171 COT1.B
Nr2f1 ENSMUSG00000069171 COT1.S
Nr2f2 ENSMUSG00000030551 COT2.B
Nr2f2 ENSMUSG00000030551 COT2.S
Creb1 ENSMUSG00000025958 CREB1
Crem ENSMUSG00000063889 CREM
Crx ENSMUSG00000041578 CRX.A
Crx ENSMUSG00000041578 CRX.S
Ctcf ENSMUSG00000005698 CTCF
Cux1 ENSMUSG00000029705 CUX1
Cxxc1 ENSMUSG00000024560 CXXC1
Dbp ENSMUSG00000059824 DBP
Ddit3 ENSMUSG00000025408 DDIT3
Dlx2 ENSMUSG00000023391 DLX2
Dlx3 ENSMUSG00000001510 DLX3
E2f1 ENSMUSG00000027490 E2F1
E2f2 ENSMUSG00000018983 E2F2
E2f3 ENSMUSG00000016477 E2F3
E2f4 ENSMUSG00000014859 E2F4
E2f5 ENSMUSG00000027552 E2F5
E2f6 ENSMUSG00000057469 E2F6
E2f7 ENSMUSG00000020185 E2F7
E4f1 ENSMUSG00000024137 E4F1
Egr1 ENSMUSG00000038418 EGR1
Egr2 ENSMUSG00000037868 EGR2
Egr3 ENSMUSG00000033730 EGR3
Egr4 ENSMUSG00000071341 EGR4
Ehf ENSMUSG00000012350 EHF
Elf1 ENSMUSG00000036461 ELF1
Elf2 ENSMUSG00000037174 ELF2
Elf3 ENSMUSG00000003051 ELF3
Elf5 ENSMUSG00000027186 ELF5
Elk1 ENSMUSG00000009406 ELK1
Elk3 ENSMUSG00000008398 ELK3
Elk4 ENSMUSG00000026436 ELK4
Eno1 ENSMUSG00000063524 ENOA
Epas1 ENSMUSG00000024140 EPAS1
Erg ENSMUSG00000040732 ERG
Esrra ENSMUSG00000024955 ERR1
Esrrb ENSMUSG00000021255 ERR2
Esrrg ENSMUSG00000026610 ERR3
Esr1 ENSMUSG00000019768 ESR1
Esr2 ENSMUSG00000021055 ESR2.B
Esr2 ENSMUSG00000021055 ESR2.S
Ets1 ENSMUSG00000032035 ETS1
Ets2 ENSMUSG00000022895 ETS2
Etv4 ENSMUSG00000017724 ETV4
Etv5 ENSMUSG00000013089 ETV5
Mecom ENSMUSG00000027684 EVI1
Evx1 ENSMUSG00000005503 EVX1
Evx2 ENSMUSG00000001815 EVX2
Fev ENSMUSG00000055197 FEV
Fli1 ENSMUSG00000016087 FLI1
Fos ENSMUSG00000021250 FOS
Fosb ENSMUSG00000003545 FOSB
Fosl1 ENSMUSG00000024912 FOSL1
Fosl2 ENSMUSG00000029135 FOSL2
Foxa1 ENSMUSG00000035451 FOXA1
Foxa2 ENSMUSG00000037025 FOXA2
Foxa3 ENSMUSG00000040891 FOXA3
Foxc1 ENSMUSG00000050295 FOXC1
Foxc2 ENSMUSG00000046714 FOXC2
Foxd1 ENSMUSG00000078302 FOXD1
Foxd3 ENSMUSG00000067261 FOXD3
Foxf1 ENSMUSG00000042812 FOXF1
Foxf2 ENSMUSG00000038402 FOXF2
Foxi1 ENSMUSG00000047861 FOXI1
Foxj2 ENSMUSG00000003154 FOXJ2
Foxj3 ENSMUSG00000032998 FOXJ3.A
Foxj3 ENSMUSG00000032998 FOXJ3.S
Foxm1 ENSMUSG00000001517 FOXM1
Foxo1 ENSMUSG00000044167 FOXO1
Foxo3 ENSMUSG00000048756 FOXO3
Foxo4 ENSMUSG00000042903 FOXO4
Foxp2 ENSMUSG00000029563 FOXP2
Foxp3 ENSMUSG00000039521 FOXP3
Foxq1 ENSMUSG00000038415 FOXQ1
Fubp1 ENSMUSG00000028034 FUBP1
Gabpb1 ENSMUSG00000027361 GABP1
Gabpa ENSMUSG00000008976 GABPA
Gata1 ENSMUSG00000031162 GATA1
Gata2 ENSMUSG00000015053 GATA2
Gata3 ENSMUSG00000015619 GATA3
Gata4 ENSMUSG00000021944 GATA4
Gata5 ENSMUSG00000015627 GATA5
Gata6 ENSMUSG00000005836 GATA6
Gcm1 ENSMUSG00000023333 GCM1
Nr3c1 ENSMUSG00000024431 GCR.C
Nr3c1 ENSMUSG00000024431 GCR.S
Gfi1 ENSMUSG00000029275 GFI1
Gfi1b ENSMUSG00000026815 GFI1B
Gli1 ENSMUSG00000025407 GLI1
Gli2 ENSMUSG00000048402 GLI2
Gli3 ENSMUSG00000021318 GLI3
Glis3 ENSMUSG00000052942 GLIS3
Hand1 ENSMUSG00000037335 HAND1
Hbp1 ENSMUSG00000002996 HBP1
Nhlh1 ENSMUSG00000051251 HEN1
Hes1 ENSMUSG00000022528 HES1
Hesx1 ENSMUSG00000040726 HESX1
Hey2 ENSMUSG00000019789 HEY2
Hic1 ENSMUSG00000043099 HIC1
Hif1a ENSMUSG00000021109 HIF1A
Hinfp ENSMUSG00000032119 HINFP
Hlf ENSMUSG00000003949 HLF
Hltf ENSMUSG00000002428 HLTF
Hmga1 ENSMUSG00000046711 HMGA1
Hmga2 ENSMUSG00000056758 HMGA2
Hnf1a ENSMUSG00000029556 HNF1A
Hnf1b ENSMUSG00000020679 HNF1B
Hnf4a ENSMUSG00000017950 HNF4A
Hnf4g ENSMUSG00000017688 HNF4G
Onecut1 ENSMUSG00000043013 HNF6
Hsf1 ENSMUSG00000022556 HSF1
Hsf2 ENSMUSG00000019878 HSF2
Tcf12 ENSMUSG00000032228 HTF4
Hoxa1 ENSMUSG00000029844 HXA1
Hoxa10 ENSMUSG00000000938 HXA10
Hoxa13 ENSMUSG00000038203 HXA13
Hoxa5 ENSMUSG00000038253 HXA5
Hoxa7 ENSMUSG00000038236 HXA7
Hoxa9 ENSMUSG00000038227 HXA9
Hoxb1 ENSMUSG00000018973 HXB1
Hoxb6 ENSMUSG00000000690 HXB6
Hoxb7 ENSMUSG00000038721 HXB7
Hoxb8 ENSMUSG00000056648 HXB8
Hoxc6 ENSMUSG00000001661 HXC6
Hoxc8 ENSMUSG00000001657 HXC8
Hoxd10 ENSMUSG00000050368 HXD10
Hoxd13 ENSMUSG00000001819 HXD13
Hoxd4 ENSMUSG00000079277 HXD4
Hoxd9 ENSMUSG00000043342 HXD9
Ikzf1 ENSMUSG00000018654 IKZF1
Insm1 ENSMUSG00000068154 INSM1
Irf1 ENSMUSG00000018899 IRF1
Irf2 ENSMUSG00000031627 IRF2
Irf3 ENSMUSG00000003184 IRF3
Irf4 ENSMUSG00000021356 IRF4
Irf5 ENSMUSG00000029771 IRF5
Irf7 ENSMUSG00000025498 IRF7
